Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,ID
304,Steven Adams,31,HOU,C,58,3,794,0.545,4.1,0.988,0.611,0.311,0.066,0,0.012,0.552,0.608,0.5,0.273,,0,0.451,,0.138,21,0,,2,0,,adamsst01
472,Bruno Fernando,26,TOR,C,17,2,147,0.531,4.1,1,0.592,0.327,0.041,0.041,0,0.531,0.655,0.438,0,0,,0.654,,0.143,7,,,0,0,,fernabr01
140,Walker Kessler,23,UTA,C,58,58,1740,0.663,4.3,0.919,0.611,0.301,0.005,0.002,0.081,0.706,0.77,0.595,0,0,0.176,0.618,1,0.329,131,0.235,0.5,1,0,,kesslwa01
490,Tony Bradley,27,IND,C,14,0,113,0.644,4.3,0.933,0.556,0.356,0,0.022,0.067,0.667,0.68,0.625,,1,0.333,0.75,1,0.089,4,0.667,0,0,0,,bradlto01
13,Ivica Zubac,27,LAC,C,80,80,2624,0.628,4.4,1,0.426,0.499,0.072,0.003,0,0.628,0.706,0.585,0.485,0.333,,0.703,,0.203,177,,,0,0,DPOY-6DEF2,zubaciv01
366,Bismack Biyombo,32,SAS,C,28,26,528,0.588,4.4,1,0.465,0.447,0.088,0,0,0.588,0.698,0.569,0.1,,,0.791,,0.123,11,,,0,0,,biyombi01
384,Kai Jones,24,2TM,C,40,6,468,0.798,4.5,0.954,0.651,0.156,0.119,0.028,0.046,0.827,0.944,0.706,0.462,0.333,0.2,0.826,1,0.596,62,0.2,0,0,0,,joneska01
417,Christian Koloko,24,LAL,C,37,0,342,0.606,4.6,0.939,0.621,0.273,0.015,0.03,0.061,0.645,0.707,0.5,1,0.5,0,0.825,,0.455,25,0.5,0,0,0,,kolokch01
247,Kevon Looney,28,GSW,C,76,6,1142,0.514,4.6,0.982,0.525,0.342,0.054,0.061,0.018,0.516,0.671,0.379,0.267,0.176,0.4,0.567,1,0.09,24,0.4,1,1,0,,looneke01
438,Oscar Tshiebwe,25,UTA,C,14,1,255,0.6,4.6,1,0.3,0.629,0.071,0,0,0.6,0.81,0.545,0.2,,,0.595,,0.114,6,,,0,0,,tshieos01
322,Drew Eubanks,27,2TM,C,61,4,746,0.593,4.7,0.969,0.361,0.546,0.062,0,0.031,0.596,0.743,0.509,0.5,,0.5,0.786,0.667,0.289,47,0.833,0.6,0,0,,eubandr01
543,Emanuel Miller,24,CHI,PF,6,0,25,0.5,4.7,0.875,0.75,0.125,0,0,0.125,0.571,0.5,1,,,0,0.75,,0.125,1,0,,0,0,,milleem01
295,Zion Williamson,24,NOP,PF,30,30,857,0.567,4.8,0.974,0.429,0.494,0.047,0.004,0.026,0.576,0.679,0.51,0.375,0,0.231,0.46,0.667,0.085,39,0.077,0,1,0,,willizi01
188,Goga Bitadze,25,ORL,C,70,42,1430,0.611,4.9,0.917,0.599,0.265,0.035,0.018,0.083,0.656,0.739,0.544,0.333,0.167,0.107,0.676,1,0.289,87,0.214,0,1,0,,bitadgo01
252,Ben Simmons,28,2TM,PG,51,24,1120,0.52,4.9,1,0.422,0.507,0.067,0.004,0,0.52,0.606,0.478,0.333,0,,0.517,,0.103,18,,,0,0,,simmobe01
148,Jakob Poeltl,29,TOR,C,57,56,1686,0.627,5,0.995,0.496,0.344,0.145,0.01,0.005,0.628,0.746,0.518,0.512,0.333,0.333,0.746,1,0.055,29,0.333,1,1,0,,poeltja01
398,Taj Gibson,39,CHO,C,37,11,409,0.495,5.1,0.979,0.505,0.316,0.137,0.021,0.021,0.495,0.625,0.4,0.231,0.5,0.5,0.63,1,0.095,9,1,0.5,0,0,,gibsota01
430,Isaac Jones,24,SAC,PF,40,0,304,0.651,5.2,0.904,0.47,0.422,0.012,0,0.096,0.68,0.744,0.629,0,,0.375,0.765,1,0.349,27,0.75,0.5,0,0,,jonesis01
